house_bill_number,title,significance,date_filed,principal_authors,date_read,primary_referral,mother_bill_status,status
HB00016,"AN ACT FOR THE CONSTRUCTION OF A LIGHT RAIL TRANSPORT (LRT) SYSTEM OR METRO RAIL TRANSPORT (MRT) SYSTEM OR MONORAIL TRANSPORT OVER, AS WELL AS A SUBWAY TRANSPORT SYSTEM UNDER THE THREE (3) MOST CONGESTED ROAD SECTIONS IN THE FIRST DISTRICT OF THE CITY OF CEBU AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00017,AN ACT PROVIDING FOR THE CONSTRUCTION OF SKYWAY OVERPASSES OVER AND TUNNEL UNDERPASSES UNDER THE THREE (3) MOST CONGESTED ROAD SECTIONS IN THE FIRST DISTRICT OF THE CITY OF CEBU AND APPROPRIATING FUNDS THEREFOR,LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-23
HB00018,AN ACT RENAMING THE MACTAN-CEBU INTERNATIONAL AIRPORT AUTHORITY TO LAPU-LAPU - CEBU INTERNATIONAL AIRPORT AUTHORITY AND MACTAN-CEBU INTERNATIONAL AIRPORT TO LAPU-LAPU - CEBU INTERNATIONAL AIRPORT,NATIONAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,TRANSPORTATION,"Approved by the House on 2021-03-25, transmitted to the Senate on 2021-04-12 and received by the Senate on 2021-04-12",Substituted by HB08986
HB00019,"AN ACT PROVIDING FOR THE ESTABLISHMENT AND CONSTRUCTION OF A SECOND RUNWAY AT THE MACTAN-CEBU INTERNATIONAL AIRPORT (MCIA) WITH ITS CONCOMITANT ACCESS TAXIWAYS AND RAPID EXIT TAXIWAYS (RET), RUNWAY LIGHTING SYSTEMS, AND NAVIGATIONAL/LANDING EQUIPMENT, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00020,"AN ACT PROVIDING FOR THE CONSTRUCTION OF A BRIDGE FROM CEBU CITY TO THE MUNICIPALITY OF CORDOVA, PROVINCE OF CEBU AND A COASTAL ROAD/EXPRESSWAY TO THE MACTAN–CEBU INTERNATIONAL AIRPORT, LAPU-LAPU CITY, AS WELL AS A BRIDGE FROM THE MUNICIPALITY OF CONSOLACION, PROVINCE OF CEBU TO THE MACTAN–CEBU INTERNATIONAL AIRPORT, LAPU-LAPU CITY AND APPROPRIATING FUNDS THEREFOR",LOCAL,2019-07-01,"DEL MAR, RAUL V.",2019-07-23,PUBLIC WORKS AND HIGHWAYS,"Approved by the House on 2020-03-09, transmitted to the Senate on 2020-03-11 and received by the Senate on 2020-03-11",Substituted by HB05887
HB00021,"AN ACT ESTABLISHING THE DEPARTMENT OF CULTURE, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-07-23
HB00022,"AN ACT PROVIDING SECURITY OF TENURE FOR BARANGAY HEALTH WORKERS, AMENDING FOR THIS PURPOSE SECTION 6 (D) OF REPUBLIC ACT 7883, OTHERWISE KNOWN AS THE ꞌBARANGAY HEALTH WORKERS' BENEFITS AND INCENTIVES ACT OF 1995ꞌ",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-23
HB00023,"AN ACT AMENDING PARAGRAPH (A), SECTION 393, CHAPTER IV, TITLE I, BOOK III OF REPUBLIC ACT NO. 7160, THE LOCAL GOVERNMENT CODE, AS AMENDED, INCREASING THE BENEFITS OF BARANGAY OFFICIALS",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-23
HB00024,"AN ACT DEVELOPING THE PILI INDUSTRY, CREATING FOR THE PURPOSE THE PILI SUBSIDY FUND AND THE PILI RESEARCH AND DEVELOPMENT CENTER, AND DECLARING THE PROVINCE OF SORSOGON AS THE PILI CAPITAL OF THE PHILIPPINES",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,AGRICULTURE AND FOOD,,Transmitted to the Committee on Appropriations on 2020-01-07
HB00025,AN ACT PROVIDING FOR THE PROTECTION OF THE RIGHTS OF AIRLINE PASSENGERS AND PENALIZING ACTS IN VIOLATION THEREOF,NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00026,"AN ACT INCLUDING A NATIONAL ARTIST AS A MEMBER OF THE NATIONAL COMMISSION FOR CULTURE AND THE ARTS, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 7356, OTHERWISE KNOWN AS THE ꞌLAW CREATING THE NATIONAL COMMISSION FOR CULTURE AND THE ARTSꞌ",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,BASIC EDUCATION AND CULTURE,"Approved by the House on 2021-01-18, transmitted to the Senate on 2021-01-19 and received by the Senate on 2021-01-19",Substituted by HB08083
HB00027,"AN ACT PROVIDING INCENTIVES TO PUBLIC SCHOOL TEACHERS WHO ARE ASSIGNED OUTSIDE OF THEIR TOWNS AND PROVINCES, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2019-07-23
HB00028,"AN ACT PROVIDING FOR THE CONSTRUCTION OF PUBLIC RESTROOMS ALONG NATIONAL AND PROVINCIAL HIGHWAYS THROUGHOUT THE COUNTRY, APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-23
HB00029,"AN ACT PROVIDING FOR A MAGNA CARTA OF WORKERS IN THE INFORMAL SECTOR, INSTITUTIONALIZING MECHANISMS FOR IMPLEMENTATION THEREOF AND AMENDING FOR THE PURPOSE CERTAIN PROVISIONS OF REPUBLIC ACT NOS. 7160 AND 8282",NATIONAL,2019-07-01,"ESCUDERO, EVELINA G.",2019-07-23,LABOR AND EMPLOYMENT,,Pending with the Committee on LABOR AND EMPLOYMENT since 2019-07-23
HB00030,"AN ACT CREATING THE DEPARTMENT OF DISASTER RESILIENCE, DEFINING ITS POWERS AND FUNCTIONS, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-01,"SALCEDA, JOEY SARTE",2019-07-23,GOVERNMENT REORGANIZATION,"Approved by the House on 2020-09-22, transmitted to the Senate on 2020-09-24 and received by the Senate on 2020-09-24",Substituted by HB05989
HB00031,AN ACT ESTABLISHING THE EASTERN SEABOARD STRATEGIC DEFENSE PLAN,NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,NATIONAL DEFENSE AND SECURITY,,Pending with the Committee on NATIONAL DEFENSE AND SECURITY since 2019-07-23
HB00032,AN ACT MANDATING LAW ENFORCEMENT PERSONNEL TO WEAR A BODY CAMERA DURING LAW ENFORCEMENT AND SPECIAL POLICE OPERATIONS,NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,PUBLIC ORDER AND SAFETY,,Pending with the Committee on PUBLIC ORDER AND SAFETY since 2019-07-23
HB00033,"AN ACT MANDATING THE LABELLING OF PLASTIC PRODUCTS ACCORDING TO THE TYPE OF PLASTIC RESIN USED IN SUCH PRODUCTS, PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,ECOLOGY,,Pending with the Committee on ECOLOGY since 2019-07-23
HB00034,"AN ACT PROHIBITING THE IMPORTATION OF WASTES, PROVIDING PENALTIES FOR VIOLATIONS THEREOF AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,ECOLOGY,,Pending with the Committee on ECOLOGY since 2019-07-23
HB00035,"AN ACT ESTABLISHING THE BENHAM RISE RESEARCH AND DEVELOPMENT INSTITUTE, PROVIDING FUNDS THEREFOR, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,GOVERNMENT REORGANIZATION,,Pending with the Committee on GOVERNMENT REORGANIZATION since 2019-07-23
HB00036,AN ACT ESTABLISHING THE PHILIPPINE RISE NATURAL PARK IN THE PROVINCE OF ISABELA AS A PROTECTED AREA UNDER THE NIPAS ACT (R.A. 7586) PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES,LOCAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,NATURAL RESOURCES,,Pending with the Committee on NATURAL RESOURCES since 2019-07-23
HB00037,"AN ACT ALLOWING THE USE OF MOTORCYCLES AS PUBLIC UTILITY VEHICLES, AMENDING FOR THIS PURPOSE REPUBLIC ACT NO. 4136 OTHERWISE KNOWN AS THE LAND TRANSPORTATION AND TRAFFIC CODE",NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,TRANSPORTATION,,Pending with the Committee on TRANSPORTATION since 2019-07-23
HB00038,AN ACT MANDATING THE NATIONAL TELECOMMUNICATIONS COMMISSION TO REQUIRE INTERNET SERVICE PROVIDERS TO DELIVER A MINIMUM STANDARD OF 10 MEGABYTES PER SECOND (10MBPS) FOR INTERNET CONNECTION SPEED,NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,INFORMATION AND COMMUNICATIONS TECHNOLOGY,,Pending with the Committee on INFORMATION AND COMMUNICATIONS TECHNOLOGY since 2019-07-23
HB00039,AN ACT MANDATING THE INCLUSION OF A SUBJECT ON PROPER ROAD USE IN THE ELEMENTARY EDUCATION CURRICULUM,NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2019-07-23
HB00040,"AN ACT REGULATING THE USE, SALE AND DISTRIBUTION OF ELECTRONIC NICOTINE DELIVERY SYSTEMS (ENDS) AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"BIAZON, RUFFY B.",2019-07-23,TRADE AND INDUSTRY,"Approved by the House on 2021-05-25, transmitted to the Senate on 2021-05-26 and received by the Senate on 2021-05-26",Substituted by HB09007
HB00041,"AN ACT CHANGING THE TERM OF OFFICE OF BARANGAY OFFICIALS AND MEMBERS OF THE SANGGUNIANG KABATAAN FROM THREE (3) TO FIVE (5) YEARS, AMENDING FOR THE PURPOSE SECTION 43 (c) OF REPUBLIC ACT NO. 7160, AS AMENDED, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991",NATIONAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,LOCAL GOVERNMENT,Pending With Rules (Included in OB on 2021-03-02),Substituted by HB08825
HB00042,"AN ACT ESTABLISHING A LOCAL GOVERNMENT RESETTLEMENT PROGRAM THAT IMPLEMENTS AN ON-SITE, IN-CITY OR NEAR-CITY STRATEGY FOR INFORMAL SETTLER FAMILIES IN ACCORDANCE WITH A PEOPLE'S PLAN AND MANDATING RELOCATING LOCAL GOVERNMENT UNITS TO PROVIDE OTHER BASIC SERVICES AND LIVELIHOOD COMPONENTS IN FAVOR OF THE RECIPIENT LOCAL GOVERNMENT UNIT, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 7279, AS AMENDED, OTHERWISE KNOWN AS THE ꞌURBAN DEVELOPMENT AND HOUSING ACT OF 1992ꞌ",NATIONAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,HOUSING AND URBAN DEVELOPMENT,"Approved by the House on 2021-02-08, transmitted to the Senate on 2021-02-09 and received by the Senate on 2021-02-09",Substituted by HB08248
HB00043,"AN ACT PROVIDING ALL BARANGAY OFFICIALS, INCLUDING BARANGAY TANODS, MEMBERS OF THE LUPON NG TAGAPAMAYAPA, BARANGAY HEALTH WORKERS AND BARANGAY DAY CARE WORKERS, A LUMP SUM RETIREMENT PAY EQUIVALENT TO ONE (1) YEAR HONORARIUM, AMENDING FOR THE PURPOSE SECTION 393 OF REPUBLIC ACT NO. 7160, AS AMENDED, OTHERWISE KNOWN AS THE ""LOCAL GOVERNMENT CODE OF 1991""",NATIONAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-23
HB00044,AN ACT PROVIDING FOR A MAGNA CARTA FOR BARANGAY HEALTH WORKERS,NATIONAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-23
HB00045,"AN ACT CREATING THE VISAYAS DEVELOPMENT AUTHORITY, DEFINING ITS POWERS AND FUNCTIONS, PROVIDING FUNDS THEREFOR AND FOR OTHER PURPOSES",LOCAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,GOVERNMENT ENTERPRISES AND PRIVATIZATION,,Pending with the Committee on GOVERNMENT ENTERPRISES AND PRIVATIZATION since 2019-07-23
HB00046,"AN ACT PROVIDING FOR THE CONSTRUCTION OF A COASTAL ROAD TRAVERSING THE CITIES OF BACOLOD, SILAY, TALISAY AND VICTORIAS, AND THE MUNICIPALITY OF ENRIQUE B. MAGALONA IN THE PROVINCE OF NEGROS OCCIDENTAL",LOCAL,2019-07-01,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.",2019-07-23,PUBLIC WORKS AND HIGHWAYS,,Pending with the Committee on PUBLIC WORKS AND HIGHWAYS since 2019-07-23
HB00047,"AN ACT POSTPONING THE MAY 2020 BARANGAY AND SANGGUNIANG KABATAAN ELECTIONS, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9164, AS AMENDED, AND FOR OTHER PURPOSES",NATIONAL,2019-07-01,"DY, FAUSTINO ""INNO"" V A.",2019-07-23,SUFFRAGE AND ELECTORAL REFORMS,Republic Act RA11462 enacted on 2019-12-03,Substituted by HB04933
HB00048,"AN ACT ENHANCING THE TRANSPARENCY OF THE PROCUREMENT PROCESS BY MANDATING THE VIDEO RECORDING OF ALL PROCUREMENT-RELATED CONFERENCES, THEREBY AMENDING REPUBLIC ACT NUMBERED 9184, OTHERWISE KNOWN AS THE ""GOVERNMENT PROCUREMENT REFORM ACT OF 2003"", PRESCRIBING PENALTIES FOR VIOLATIONS THEREOF, AND FOR OTHER RELATED PURPOSES",NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,APPROPRIATIONS,,Referred to Stakeholders on 2019-08-14
HB00049,"AN ACT ESTABLISHING VETERANS MEMORIAL MEDICAL CENTERS IN LUZON, VISAYAS AND MINDANAO",NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,HEALTH,,Pending with the Committee on HEALTH since 2019-07-23
HB00050,"AN ACT GRANTING EDUCATIONAL ASSISTANCE AND BENEFITS TO THE DEPENDENTS OF ALL MEMBERS OF THE ARMED FORCES OF THE PHILIPPINES (AFP), PHILIPPINE NATIONAL POLICE (PNP), BUREAU OF FIRE PROTECTION (BFP), BUREAU OF JAIL MANAGEMENT AND PENOLOGY (BJMP), NATIONAL BUREAU OF INVESTIGATION (NBI), PHILIPPINE DRUG ENFORCEMENT AGENCY (PDEA), PHILIPPINE COAST GUARD (PCG) AND BUREAU OF CORRECTIONS (BUCOR) WHO ARE KILLED OR PERMANENTLY INCAPACITATED WHILE IN THE PERFORMANCE OF THEIR DUTY OR BY REASON OF THEIR OFFICE OR POSITION",NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,NATIONAL DEFENSE AND SECURITY,,Pending with the Committee on NATIONAL DEFENSE AND SECURITY since 2019-07-23
HB00051,AN ACT IMPLEMENTING THE PEOPLE'S RIGHT TO INFORMATION AND THE CONSTITUTIONAL POLICIES OF FULL PUBLIC DISCLOSURE AND HONESTY IN THE PUBLIC SERVICE AND FOR OTHER PURPOSES,NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,PUBLIC INFORMATION,,Pending with the Committee on PUBLIC INFORMATION since 2019-07-23
HB00052,AN ACT PROVIDING FOR SECURITY OF TENURE FOR ALL CASUAL AND CONTRACTUAL EMPLOYEES OF THE GOVERNMENT WHO HAVE RENDERED THE PRESCRIBED YEARS OF SERVICE IN THE NATIONAL GOVERNMENT AGENCIES AND THE LOCAL GOVERNMENT UNITS AND FOR OTHER PURPOSES,NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,CIVIL SERVICE AND PROFESSIONAL REGULATION,,Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2019-07-23
HB00053,AN ACT PROVIDING AUTOMATIC PROMOTION OF GOVERNMENT OFFICIALS AND EMPLOYEES UPON RETIREMENT FROM GOVERNMENT SERVICE AND FOR OTHER PURPOSES,NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,CIVIL SERVICE AND PROFESSIONAL REGULATION,,Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2019-07-23
HB00054,"AN ACT INSTITUTING INCLUSIVE EDUCATION, ESTABLISHING INCLUSIVE EDUCATION LEARNING RESOURCE CENTERS FOR CHILDREN AND YOUTH WITH SPECIAL NEEDS (CYSNs) IN ALL PUBLIC SCHOOLS DIVISIONS, PROVIDING FOR STANDARDS AND GUIDELINES, AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,BASIC EDUCATION AND CULTURE,House agreed on 2021-06-02 to the request for a conference made by the Senate on 2021-05-31,Substituted by HB08080
HB00055,AN ACT PROHIBITING DISCRIMINATION AGAINST PERSONS ON ACCOUNT OF ETHNIC ORIGIN AND/OR RELIGIOUS BELIEF,NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,HUMAN RIGHTS,"Approved by the House on 2021-02-02, transmitted to the Senate on 2021-02-03 and received by the Senate on 2021-02-03",Substituted by HB08243
HB00056,"AN ACT REQUIRING ALL GRADUATING ELEMENTARY, HIGH SCHOOL AND COLLEGE STUDENTS TO PLANT AT LEAST TEN (10) TREES EACH AS A PREREQUISITE FOR GRADUATION AND FOR OTHER RELATED PURPOSES",NATIONAL,2019-07-01,"CABOCHAN, MANUEL III. D.",2019-07-23,REFORESTATION,"Approved by the House on 2020-08-26, transmitted to the Senate on 2020-09-01 and received by the Senate on 2020-09-01",Substituted by HB06931
HB00057,"AN ACT PROMOTING OPEN ACCESS IN DATA TRANSMISSION, PROVIDING ADDITIONAL POWERS TO THE NATIONAL TELECOMMUNICATIONS COMMISSION",NATIONAL,2019-07-01,"YAP, VICTOR A.",2019-07-23,INFORMATION AND COMMUNICATIONS TECHNOLOGY,"Approved by the House on 2021-07-28, transmitted to the Senate on 2021-07-29 and received by the Senate on 2021-07-29",Substituted by HB08910
HB00058,"AN ACT INCREASING THE BENEFITS OF BARANGAY OFFICIALS, INCLUDING BARANGAY TANODS AND MEMBERS OF THE LUPON NG TAGAPAMAYAPA, AND GRANTING A LUMP SUM RETIREMENT GRATUITY PAY EQUIVALENT TO ONE HUNDRED THOUSAND PESOS (P100,000.00), AND OTHER NON-MONETARY BENEFITS, AMENDING FOR THE PURPOSE SECTION 393 OF REPUBLIC ACT NO. 7160 OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991, AS AMENDED",NATIONAL,2019-07-01,"YAP, VICTOR A.",2019-07-23,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2019-07-23
