,amenity,building,shop,office,way
7014,,,,,POINT (121.0690034 14.6638897)
7015,,,,,POINT (121.06412 14.6650213)
7016,,,,,POINT (121.0662949 14.6649638)
7017,,,,,POINT (121.0660297 14.6651512)
7018,,,,,POINT (121.0646834 14.6657717)
7019,parking,,,,POINT (121.0668853 14.664283)
7020,,,,,POINT (121.0675391 14.6641664)
7021,pharmacy,,,,POINT (121.067601 14.6641479)
7022,bank,,,,POINT (121.0674969 14.6642313)
7023,fast_food,,,,POINT (121.0676892 14.6640515)
7024,pharmacy,,,,POINT (121.0676452 14.6641095)
7025,restaurant,,,,POINT (121.0674063 14.6643973)
7026,,,bakery,,POINT (121.0677719 14.6644586)
7027,bureau_de_change,,,,POINT (121.0677987 14.6644593)
7028,dentist,,,,POINT (121.067155 14.6648109)
7029,,,food,,POINT (121.0671235 14.6648284)
7030,,,food,,POINT (121.0671313 14.6648241)
7031,,,food,,POINT (121.0671399 14.6648193)
7032,,,,,POINT (121.0672348 14.6648115)
7033,,,hairdresser,,POINT (121.0671952 14.6648297)
7034,bank,,,,POINT (121.0673324 14.6647717)
7035,,,butcher,,POINT (121.0674619 14.6646945)
7036,dentist,,,,POINT (121.0675658 14.664795)
7037,,,pawnbroker,,POINT (121.0675431 14.6649254)
7038,,,convenience,,POINT (121.0679777 14.6642653)
7039,,,,,POINT (121.0474359 14.6671936)
7040,,,,,POINT (121.0483008 14.6678453)
7041,,,,,POINT (121.0483931 14.6680441)
7042,,,,,POINT (121.0500837 14.6667979)
7043,place_of_worship,,,,POINT (121.0479737 14.6687078)
7044,,,,,POINT (121.047531 14.670021)
7045,,,,,POINT (121.048431 14.670311)
7046,,,,,POINT (121.0484015 14.6704628)
7047,,,,,POINT (121.0502763 14.6708308)
7048,atm,,,,POINT (121.052689 14.6697068)
7049,,,car_repair,,POINT (121.0516859 14.6708606)
7050,,,,,POINT (121.0526232 14.6708779)
7051,,,car_repair,,POINT (121.0533301 14.6694085)
7052,,,car_repair,,POINT (121.0534374 14.6693747)
7053,veterinary,,,,POINT (121.0535634 14.6693073)
7054,school,,,,POINT (121.0555597 14.668423)
7055,bank,,,,POINT (121.0546738 14.6689084)
7056,,,,,POINT (121.055462 14.6691216)
7057,,,car,,POINT (121.0564453 14.6677509)
7058,college,,,,POINT (121.0566653 14.6674492)
7059,school,,,,POINT (121.0578454 14.6671209)
7060,,,,,POINT (121.057669 14.6675141)
7061,,,,,POINT (121.0557034 14.6683892)
7062,,,,,POINT (121.0561178 14.6685916)
7063,,,,,POINT (121.054223 14.6714682)
7064,,,,,POINT (121.0575732 14.670221)
7065,restaurant,,,,POINT (121.0483137 14.6733091)
7066,,,,,POINT (121.0489456 14.673255)
7067,,,,,POINT (121.0490048 14.673447)
7068,,,,,POINT (121.0491382 14.6734278)
7069,townhall,,,,POINT (121.0482157 14.6747184)
7070,marketplace,,,,POINT (121.0488711 14.6737202)
7071,pharmacy,,,,POINT (121.0490411 14.6736249)
7072,,,greengrocer,,POINT (121.0488373 14.6741231)
7073,,,convenience,,POINT (121.0490384 14.673983)
7074,pharmacy,,,,POINT (121.0490411 14.6740998)
7075,,,hairdresser,,POINT (121.0487943 14.6744231)
7076,,,hairdresser,,POINT (121.0487889 14.674558)
7077,pharmacy,,,,POINT (121.0487836 14.6746514)
7078,,,,,POINT (121.0478832 14.6759792)
7079,,,,,POINT (121.0493694 14.6757357)
7080,,,,,POINT (121.0526767 14.6754806)
7081,,,bakery,,POINT (121.0503431 14.6766878)
7082,,,,,POINT (121.0504611 14.6765529)
7083,restaurant,,,,POINT (121.0509347 14.6766997)
7084,swimming_pool,,,,POINT (121.0516938 14.6764116)
7085,car_wash,,,,POINT (121.0528077 14.6766749)
7086,,,,,POINT (121.0543934 14.6728639)
7087,,,,,POINT (121.0536292 14.673804)
7088,,,,,POINT (121.0537895 14.6738889)
7089,,,,,POINT (121.0564612 14.6725542)
7090,fuel,,,,POINT (121.0570509 14.6732242)
7091,,,,,POINT (121.0532683 14.6763444)
7092,place_of_worship,,,,POINT (121.0538301 14.675912)
7093,restaurant,,,,POINT (121.0529096 14.6766741)
7094,,,,,POINT (121.0530542 14.6766387)
7095,,,convenience,,POINT (121.0532038 14.6766601)
7096,,,bakery,,POINT (121.0533058 14.6769922)
7097,,,,,POINT (121.053939 14.676771)
7098,,,,,POINT (121.053121 14.6772081)
7099,,,,,POINT (121.0531519 14.6773772)
7100,,,,,POINT (121.0569009 14.6768045)
7101,,,,,POINT (121.0567931 14.6773841)
7102,school,,,,POINT (121.0596932 14.6667541)
7103,,,,,POINT (121.0651986 14.6682224)
7104,,,,company,POINT (121.065558 14.6719524)
7105,bar,,,,POINT (121.0655737 14.6719808)
7106,,,bakery,,POINT (121.0683808 14.6706577)
7107,,house,,,POINT (121.0670554 14.6722364)
7108,,,,,POINT (121.0677644 14.6720867)
7109,,,,,POINT (121.0677741 14.6720812)
7110,place_of_worship,,,,POINT (121.0689951 14.6712233)
7111,place_of_worship,,,,POINT (121.069007 14.6712311)
7112,,,,,POINT (121.0683794 14.6717585)
7113,,,,,POINT (121.068377 14.671809)
7114,,,,,POINT (121.0683583 14.6719387)
7115,,,,,POINT (121.0683726 14.6719335)
7116,,,,,POINT (121.0614145 14.6722727)
7117,,,,,POINT (121.0613073 14.672737)
7118,,,,,POINT (121.0616876 14.6727853)
7119,fuel,,,,POINT (121.0622265 14.6728799)
7120,,,,,POINT (121.0593943 14.6771191)
7121,place_of_worship,,,,POINT (121.0630688 14.6765305)
7122,,house,,,POINT (121.0672035 14.6722507)
7123,,,,,POINT (121.0671279 14.6732038)
7124,community_centre,,,,POINT (121.0680448 14.67361)
7125,,,bakery,,POINT (121.067715 14.6743584)
7126,fast_food,,,,POINT (121.0692456 14.6737939)
7127,,,,,POINT (121.0676499 14.6750253)
7128,fast_food,,,,POINT (121.069144 14.6769124)
7129,bank,,,,POINT (121.0696988 14.6349347)
7130,restaurant,,,,POINT (121.0698498 14.6351412)
7131,bank,,,,POINT (121.0704893 14.6347021)
7132,,,,,POINT (121.0703746 14.6347739)
7133,,,,,POINT (121.0706892 14.6347216)
7134,fast_food,,,,POINT (121.0700299 14.6351267)
7135,bank,,,,POINT (121.070258 14.6351527)
7136,,,clothes,,POINT (121.0704205 14.6350673)
7137,restaurant,,clothes,,POINT (121.0705235 14.6349949)
7138,bank,,,,POINT (121.0706067 14.6350541)
7139,,,hairdresser,,POINT (121.0707033 14.6350542)
7140,restaurant,,,,POINT (121.071574 14.6344124)
7141,,,,,POINT (121.0716433 14.6344574)
7142,restaurant,,,,POINT (121.0712672 14.6345314)
7143,restaurant,,,,POINT (121.0709026 14.634901)
7144,bank,,,,POINT (121.0709862 14.634862)
7145,,,,,POINT (121.0708253 14.6350188)
7146,cafe,,,,POINT (121.0709433 14.6350022)
7147,,,,,POINT (121.0709782 14.6351449)
7148,restaurant,,,,POINT (121.0716978 14.634645)
7149,fast_food,,,,POINT (121.0716042 14.6346592)
7150,,,convenience,,POINT (121.0720776 14.6345672)
7151,restaurant,,,,POINT (121.0716546 14.6349188)
7152,bar,,,,POINT (121.0696886 14.635214)
7153,,,,,POINT (121.0710316 14.6356376)
7154,,,car_repair,,POINT (121.0719922 14.6357677)
7155,restaurant,,,,POINT (121.0720884 14.6341)
7156,,chapel,,,POINT (121.0721637 14.6350411)
7157,,,pawnbroker,,POINT (121.0740338 14.6340456)
7158,,,bakery,,POINT (121.0740099 14.6349493)
7159,,,,,POINT (121.0745843 14.6346668)
7160,,,,,POINT (121.0720966 14.6351942)
7161,hospital,,,,POINT (121.0727538 14.6364191)
7162,cafe,,,,POINT (121.0729301 14.6359135)
7163,restaurant,,,,POINT (121.0729308 14.6362078)
7164,cafe,,,,POINT (121.0729779 14.6362234)
7165,,,supermarket,,POINT (121.0729496 14.636362)
7166,,,laundry,,POINT (121.0730025 14.6365105)
7167,,,supermarket,,POINT (121.0732713 14.6361992)
7168,bank,,,,POINT (121.0731963 14.6363101)
7169,cafe,,,,POINT (121.0733624 14.6362486)
7170,,,,,POINT (121.0735316 14.6354278)
7171,restaurant,,,,POINT (121.0740112 14.6352927)
7172,school,,,,POINT (121.0739825 14.635356)
7173,cafe,,,,POINT (121.0740111 14.6354137)
7174,college,,,,POINT (121.0740465 14.6355056)
7175,,retail,,,POINT (121.0735155 14.6355601)
7176,,,,,POINT (121.074655 14.6358066)
7177,parking,,,,POINT (121.07381 14.6359366)
7178,biergarten,,,,POINT (121.0736957 14.6364813)
7179,restaurant,,,,POINT (121.0740419 14.6363242)
7180,,,,,POINT (121.0711401 14.6370455)
7181,,,,,POINT (121.0721515 14.6367078)
7182,,,kiosk,,POINT (121.0727074 14.6365884)
7183,,,,,POINT (121.0721482 14.6369455)
7184,,commercial,,,POINT (121.073157 14.6377252)
7185,restaurant,,,,POINT (121.0733996 14.6377293)
7186,cafe,,,,POINT (121.0736554 14.6365825)
7187,restaurant,,,,POINT (121.0738165 14.6366162)
7188,cafe,,,,POINT (121.0740441 14.6365988)
7189,,,bakery,,POINT (121.0739831 14.6368053)
7190,cafe,,,,POINT (121.0739831 14.6368769)
7191,,,books,,POINT (121.0739846 14.6369486)
7192,fast_food,,,,POINT (121.0740985 14.6370404)
7193,bank,,,,POINT (121.0740305 14.6371551)
7194,,,,,POINT (121.074651 14.6367316)
7195,,,,,POINT (121.074526 14.6368085)
7196,,,,,POINT (121.0741744 14.6370327)
7197,,,,,POINT (121.0742661 14.6372132)
7198,fast_food,,,,POINT (121.0740431 14.6373441)
7199,restaurant,,,,POINT (121.0740845 14.6375188)
7200,fast_food,,,,POINT (121.0740829 14.6376046)
7201,,,,,POINT (121.0746386 14.6372322)
7202,,,,,POINT (121.0747766 14.6372655)
7203,,,convenience,,POINT (121.0741692 14.6377016)
7204,restaurant,,,,POINT (121.074177 14.6378824)
7205,fast_food,,,,POINT (121.0732802 14.6383503)
7206,school,,,,POINT (121.0733752 14.638707)
7207,hospital,,,,POINT (121.0732948 14.6388021)
7208,,,yes,,POINT (121.0731402 14.6392542)
7209,restaurant,,,,POINT (121.0735446 14.6380622)
7210,,,convenience,,POINT (121.0741793 14.6379777)
7211,restaurant,,,,POINT (121.0741804 14.6380218)
7212,bank,,,,POINT (121.0741819 14.6380932)
7213,cafe,,,,POINT (121.0741548 14.6383008)
7214,bank,,,,POINT (121.074275 14.638334)
7215,,,,,POINT (121.0741921 14.6383918)
7216,restaurant,,,,POINT (121.0742137 14.6384461)
7217,cafe,,,,POINT (121.0742158 14.638565)
7218,restaurant,,,,POINT (121.0742304 14.6387196)
7219,school,,,,POINT (121.0742293 14.6388723)
7220,restaurant,,,,POINT (121.0742411 14.6389915)
7221,bank,,,,POINT (121.0742228 14.6390686)
7222,restaurant,,,,POINT (121.0742235 14.6391166)
7223,restaurant,,,,POINT (121.0742274 14.6391871)
7224,restaurant,,,,POINT (121.0742302 14.6392392)
7225,,,convenience,,POINT (121.0748901 14.6345081)
7226,waste_basket,,,,POINT (121.0751254 14.6345916)
7227,recycling,,,,POINT (121.0751091 14.6345956)
7228,toilets,,,,POINT (121.0752819 14.6345818)
7229,recycling,,,,POINT (121.0754502 14.634885)
7230,waste_basket,,,,POINT (121.0754714 14.634886)
7231,waste_basket,,,,POINT (121.0757741 14.6348904)
7232,,,,,POINT (121.0755333 14.6352632)
7233,parking,,,,POINT (121.0774933 14.6362497)
7234,,,,,POINT (121.0751987 14.6367473)
7235,parking,,,,POINT (121.0761966 14.6376717)
7236,recycling,,,,POINT (121.0765436 14.637495)
7237,bicycle_parking,,,,POINT (121.0766158 14.6374267)
7238,restaurant,,,,POINT (121.0765005 14.6377252)
7239,atm,,,,POINT (121.0763365 14.6377637)
7240,toilets,,,,POINT (121.0762809 14.6378999)
7241,waste_basket,,,,POINT (121.0764123 14.6378506)
7242,waste_basket,,,,POINT (121.0766789 14.6377588)
7243,recycling,,,,POINT (121.076686 14.6377818)
7244,toilets,,,,POINT (121.0760422 14.638066)
7245,vending_machine,,,,POINT (121.0759858 14.6381464)
7246,bicycle_parking,,,,POINT (121.0759649 14.6382232)
7247,toilets,,,,POINT (121.0768643 14.6381432)
7248,drinking_water,,,,POINT (121.076875 14.6381808)
7249,drinking_water,,,,POINT (121.0765142 14.6382866)
7250,drinking_water,,,,POINT (121.0764472 14.6384864)
7251,toilets,,,,POINT (121.0764633 14.6385461)
7252,waste_basket,,,,POINT (121.0769018 14.6381315)
7253,vending_machine,,,,POINT (121.0769166 14.6381704)
7254,waste_basket,,,,POINT (121.0771043 14.6381639)
7255,,,copyshop,,POINT (121.077162 14.6381315)
7256,drinking_water,,,,POINT (121.0772103 14.638173)
7257,waste_basket,,,,POINT (121.077575 14.6379706)
7258,toilets,,,,POINT (121.0772384 14.6381302)
7259,bicycle_parking,,,,POINT (121.0775388 14.6381354)
7260,waste_basket,,,,POINT (121.0775628 14.638423)
7261,waste_basket,,,,POINT (121.077382 14.6384514)
7262,bicycle_parking,,,,POINT (121.0764383 14.6392512)
7263,toilets,,,,POINT (121.0776059 14.6379291)
7264,,,,,POINT (121.0781737 14.6380525)
7265,drinking_water,,,,POINT (121.0775934 14.6384376)
7266,vending_machine,,,,POINT (121.077633 14.6384716)
7267,,,copyshop,,POINT (121.0776198 14.6384833)
7268,bicycle_parking,,,,POINT (121.0784604 14.6383587)
7269,waste_basket,,,,POINT (121.0779661 14.6390707)
7270,restaurant,,,,POINT (121.0780203 14.6390248)
7271,toilets,,,,POINT (121.0782296 14.6389761)
7272,drinking_water,,,,POINT (121.0781832 14.6390735)
7273,place_of_worship,,,,POINT (121.078415 14.6390157)
7274,waste_basket,,,,POINT (121.079558 14.6388341)
7275,place_of_worship,,,,POINT (121.0702585 14.6393842)
7276,place_of_worship,,,,POINT (121.0694681 14.6404926)
7277,,,,,POINT (121.070924 14.6394551)
7278,place_of_worship,,,,POINT (121.0720459 14.6403381)
7279,,,convenience,,POINT (121.0709842 14.6407451)
7280,,yes,,,POINT (121.0719792 14.6415834)
7281,school,,,,POINT (121.0724989 14.6393355)
7282,,,,,POINT (121.072848 14.6395347)
7283,restaurant,,,,POINT (121.0733668 14.6394531)
7284,,,,,POINT (121.0732572 14.6401522)
7285,,,,,POINT (121.07397 14.6393883)
7286,pub,,,,POINT (121.0742067 14.6393089)
7287,cafe,,,,POINT (121.0742589 14.6393051)
7288,restaurant,,,,POINT (121.0742614 14.6393574)
7289,restaurant,,,,POINT (121.07427 14.6393996)
7290,restaurant,,,,POINT (121.0742698 14.639427)
7291,parking,,,,POINT (121.0742517 14.6394889)
7292,restaurant,,,,POINT (121.0742724 14.639456)
7293,restaurant,,,,POINT (121.0742515 14.639514)
7294,restaurant,,,,POINT (121.0742441 14.6395259)
7295,,,,,POINT (121.0744742 14.639575)
7296,,,,,POINT (121.0746114 14.6395721)
7297,restaurant,,,,POINT (121.0742709 14.6396572)
7298,restaurant,,,,POINT (121.0742733 14.6396938)
7299,bank,,,,POINT (121.074288 14.6398819)
7300,,,pawnbroker,,POINT (121.0739348 14.6401382)
7301,bank,,,,POINT (121.0741407 14.6400004)
7302,cafe,,,,POINT (121.0741378 14.6401185)
7303,restaurant,,,,POINT (121.073934 14.6403397)
7304,,,,,POINT (121.0739808 14.6403499)
7305,cafe,,,,POINT (121.0740586 14.6403396)
7306,cafe,,,,POINT (121.0741176 14.6403811)
7307,,,convenience,,POINT (121.0739271 14.6404841)
7308,doctors,,,,POINT (121.0739559 14.6405232)
7309,restaurant,,,,POINT (121.073978 14.6404932)
7310,bank,,,,POINT (121.0742878 14.6401984)
7311,,,photo,,POINT (121.0742865 14.6402533)
7312,fast_food,,,,POINT (121.0742869 14.6402995)
7313,restaurant,,,,POINT (121.0742875 14.6403483)
7314,fast_food,,,,POINT (121.0742868 14.6404253)
7315,,,computer,,POINT (121.0741457 14.6406217)
7316,cafe,,,,POINT (121.0743246 14.6406403)
7317,,,,,POINT (121.0745584 14.6404857)
7318,,,,,POINT (121.0745111 14.6405753)
7319,,,,,POINT (121.0746521 14.6405774)
7320,,,,,POINT (121.0747462 14.6405591)
7321,,,,,POINT (121.0733977 14.6409602)
7322,school,,,,POINT (121.073205 14.641163)
7323,,,,,POINT (121.0733983 14.6411007)
7324,restaurant,,,,POINT (121.0731132 14.6413259)
7325,cafe,,,,POINT (121.073198 14.6413222)
7326,restaurant,,,,POINT (121.0734313 14.6412551)
7327,,,shoes,,POINT (121.0721193 14.6416026)
7328,restaurant,,,,POINT (121.0732163 14.6414095)
7329,,,,,POINT (121.0732154 14.6415769)
7330,,,,,POINT (121.0733705 14.6417688)
7331,pharmacy,,,,POINT (121.0734933 14.6408689)
7332,,,,,POINT (121.0737381 14.6409395)
7333,,,,,POINT (121.0740999 14.6410679)
7334,cafe,,,,POINT (121.0742658 14.6407368)
7335,,,books,,POINT (121.0743277 14.6406578)
7336,restaurant,,,,POINT (121.0743226 14.6406723)
7337,cafe,,,,POINT (121.0743168 14.640783)
7338,place_of_worship,,,,POINT (121.0742595 14.6408633)
7339,restaurant,,,,POINT (121.0742628 14.6408986)
7340,,,,,POINT (121.0743115 14.640954)
7341,restaurant,,,,POINT (121.0742612 14.6409849)
7342,bank,,,,POINT (121.0743137 14.6409695)
7343,,,,,POINT (121.0747778 14.6412197)
7344,fast_food,,,,POINT (121.0736445 14.6416182)
7345,taxi,,,,POINT (121.0736535 14.641824)
7346,cafe,,,,POINT (121.073911 14.6417409)
7347,,,clothes,,POINT (121.0740585 14.6418778)
7348,bureau_de_change,,,,POINT (121.0740813 14.6418836)
7349,fire_station,,,,POINT (121.0743342 14.6416099)
7350,,,,,POINT (121.0745441 14.6413442)
7351,bank,,,,POINT (121.0743222 14.6417127)
7352,place_of_worship,,,,POINT (121.0724199 14.6430246)
7353,,,convenience,,POINT (121.0738179 14.6420588)
7354,fast_food,,,,POINT (121.074033 14.6422348)
7355,,,,,POINT (121.0740479 14.6422961)
7356,restaurant,,,,POINT (121.0742003 14.6423702)
7357,bank,,,,POINT (121.0742694 14.6424124)
7358,bureau_de_change,,,,POINT (121.0743752 14.6424624)
7359,bank,,,,POINT (121.0743986 14.6426467)
7360,,,,,POINT (121.0745932 14.6424481)
7361,,,,,POINT (121.0747526 14.6425372)
7362,bank,,,,POINT (121.0743904 14.6427472)
7363,,,supermarket,,POINT (121.0743939 14.6428445)
7364,pharmacy,,,,POINT (121.0743958 14.6429245)
7365,fast_food,,,,POINT (121.074428 14.6430367)
7366,bank,,,,POINT (121.0744293 14.6430896)
7367,bank,,,,POINT (121.0744312 14.6432058)
7368,dentist,,,,POINT (121.0744194 14.6433431)
7369,,,laundry,,POINT (121.0739536 14.6440235)
7370,,,publisher,,POINT (121.0739542 14.6440684)
7371,cafe,,,,POINT (121.0743184 14.6438328)
7372,restaurant,,,,POINT (121.0743828 14.6438354)
7373,restaurant,,,,POINT (121.0743186 14.6438848)
7374,,,computer,,POINT (121.0743796 14.6438763)
7375,restaurant,,,,POINT (121.0743186 14.6439582)
7376,pharmacy,,,,POINT (121.0743721 14.6439593)
7377,,,bakery,,POINT (121.0744136 14.644171)
7378,place_of_worship,,,,POINT (121.0743978 14.644302)
7379,,,yes,,POINT (121.0744297 14.644272)
7380,,,supermarket,,POINT (121.0742897 14.6445026)
7381,bank,,,,POINT (121.0742724 14.6447503)
7382,,yes,,,POINT (121.0749539 14.6402387)
7383,parking,,,,POINT (121.0759217 14.6404795)
7384,cafe,,,,POINT (121.0771253 14.639299)
7385,waste_basket,,,,POINT (121.0775042 14.6394995)
7386,bicycle_parking,,,,POINT (121.0771346 14.6396371)
7387,cafe,,,,POINT (121.0772508 14.6396518)
7388,,,copyshop,,POINT (121.0773461 14.6398109)
7389,bicycle_parking,,,,POINT (121.0764853 14.640087)
7390,drinking_water,,,,POINT (121.0768775 14.6400799)
7391,drinking_water,,,,POINT (121.0768815 14.6405097)
7392,bicycle_parking,,,,POINT (121.0769157 14.640031)
7393,toilets,,,,POINT (121.0769298 14.6405045)
7394,bicycle_rental,,,,POINT (121.0748886 14.6411225)
7395,,,,,POINT (121.0760779 14.6407744)
7396,drinking_water,,,,POINT (121.076396 14.6406862)
7397,waste_basket,,,,POINT (121.077865 14.639522)
7398,,,copyshop,,POINT (121.0778655 14.6397538)
7399,waste_basket,,,,POINT (121.0782566 14.6397019)
7400,vending_machine,,,,POINT (121.0782406 14.6397142)
7401,toilets,,,,POINT (121.0782285 14.6397681)
7402,drinking_water,,,,POINT (121.0782473 14.639772)
7403,waste_basket,,,,POINT (121.0784444 14.6394515)
7404,drinking_water,,,,POINT (121.0783012 14.6395361)
7405,toilets,,,,POINT (121.0783266 14.6395353)
7406,bicycle_parking,,,,POINT (121.0789173 14.6399454)
7407,library,,,,POINT (121.0777748 14.6401967)
7408,atm,,,,POINT (121.0781883 14.6400603)
7409,,,,,POINT (121.0781133 14.6402121)
7410,waste_basket,,,,POINT (121.0798752 14.6403646)
7411,toilets,,,,POINT (121.0801818 14.6403303)
7412,parking,,,,POINT (121.0775951 14.6413243)
7413,parking,,,,POINT (121.0781653 14.6412674)
7414,school,,,,POINT (121.0776182 14.6414659)
7415,,,,,POINT (121.077966 14.6416892)
7416,,,copyshop,,POINT (121.0782522 14.6418497)
7417,toilets,,,,POINT (121.0782522 14.6419318)
7418,,,,company,POINT (121.078537 14.6417221)
7419,toilets,,,,POINT (121.0784153 14.6419299)
7420,fast_food,,,,POINT (121.0783419 14.6420124)
7421,bicycle_parking,,,,POINT (121.0793564 14.6416772)
7422,parking,,,,POINT (121.0796728 14.6415624)
7423,,,,,POINT (121.0751168 14.6427325)
7424,,,,,POINT (121.0750237 14.6428557)
7425,parking,,,,POINT (121.0754378 14.6438664)
7426,,,,,POINT (121.0749996 14.644215)
7427,parking,,,,POINT (121.0763642 14.6440613)
7428,parking,,,,POINT (121.0802903 14.6427625)
7429,parking,,,,POINT (121.0786709 14.643672)
7430,parking,,,,POINT (121.0785709 14.6445906)
7431,parking,,,,POINT (121.0804745 14.6442026)
7432,theatre,,,,POINT (121.0808343 14.6447245)
7433,restaurant,,,,POINT (121.0811568 14.6446366)
7434,restaurant,,,,POINT (121.0705523 14.6471684)
7435,,,,,POINT (121.0719444 14.6464722)
7436,,,bicycle,,POINT (121.0711814 14.6475189)
7437,school,,,,POINT (121.0717655 14.6471533)
7438,school,,,,POINT (121.0720307 14.6471734)
7439,parking,,,,POINT (121.0719019 14.6474744)
7440,,,convenience,,POINT (121.0733803 14.645045)
7441,shelter,,,,POINT (121.0729575 14.6454195)
7442,,,laundry,,POINT (121.0736031 14.6448985)
7443,parking,,,,POINT (121.0739991 14.6452934)
7444,parking,,,,POINT (121.0742716 14.6451618)
7445,waste_basket,,,,POINT (121.074145 14.6454827)
7446,parking,,,,POINT (121.0742196 14.6456432)
7447,,,bakery,,POINT (121.0742159 14.6456989)
7448,parking,,,,POINT (121.0722517 14.6473213)
7449,taxi,,,,POINT (121.0729264 14.6473898)
7450,,yes,,,POINT (121.0736299 14.6464897)
7451,place_of_worship,,,,POINT (121.0738606 14.6463479)
7452,bank,,,,POINT (121.0739625 14.6466301)
7453,,,,,POINT (121.0739524 14.6467452)
7454,bank,,,,POINT (121.073944 14.6468313)
7455,bank,,,,POINT (121.0741034 14.6468164)
7456,,,,,POINT (121.074757 14.6463281)
7457,parking_space,,,,POINT (121.0742643 14.6467455)
7458,parking,,,,POINT (121.0746617 14.6465115)
7459,,,laundry,,POINT (121.0739679 14.6469279)
7460,bank,,,,POINT (121.0741389 14.6469167)
7461,bank,,,,POINT (121.0740619 14.6469946)
7462,,,,,POINT (121.0742767 14.6469252)
7463,,,,,POINT (121.0744568 14.6470311)
7464,,,convenience,,POINT (121.074209 14.6473354)
7465,fast_food,,,,POINT (121.0697518 14.6478042)
7466,,,,educational_institution,POINT (121.0694301 14.6482437)
7467,,,,,POINT (121.0694721 14.6483555)
7468,,,,,POINT (121.070237 14.6483645)
7469,food_court,,,,POINT (121.0708706 14.6483481)
7470,grit_bin,,,,POINT (121.0708333 14.6483889)
7471,,,kiosk,,POINT (121.0708611 14.6483889)
7472,waste_basket,,,,POINT (121.0709794 14.6483854)
7473,food_court,,,,POINT (121.071029 14.6485206)
7474,waste_basket,,,,POINT (121.071415 14.6490492)
7475,waste_basket,,,,POINT (121.0714038 14.6498449)
7476,,,,,POINT (121.0729269 14.6481319)
7477,,,convenience,,POINT (121.0741647 14.6476286)
7478,,,,,POINT (121.0738013 14.648503)
7479,,,,,POINT (121.0743078 14.6483406)
7480,,,,,POINT (121.0744234 14.6482189)
7481,,,,,POINT (121.0741944 14.6484444)
7482,,,,,POINT (121.0743096 14.6485488)
7483,,,,,POINT (121.07449 14.6483078)
7484,,,,,POINT (121.074495 14.6485492)
7485,bench,,,,POINT (121.0721911 14.6501736)
7486,bench,,,,POINT (121.0722286 14.650156)
7487,bench,,,,POINT (121.0721719 14.6502164)
7488,bench,,,,POINT (121.0722137 14.6502071)
7489,waste_basket,,,,POINT (121.0746944 14.6490278)
7490,cafe,,,,POINT (121.0746532 14.6492159)
7491,,,clothes,,POINT (121.0746801 14.6491286)
7492,,,,,POINT (121.0744851 14.6495732)
7493,restaurant,,,,POINT (121.0746573 14.6493127)
7494,cafe,,,,POINT (121.0746555 14.6493901)
7495,restaurant,,,,POINT (121.074802 14.6492677)
7496,,,bakery,,POINT (121.0746529 14.6494747)
7497,,,bakery,,POINT (121.0746558 14.6495271)
7498,,,bakery,,POINT (121.0746581 14.6494263)
7499,toilets,,,,POINT (121.0747984 14.6495439)
7500,,,,,POINT (121.0736863 14.6498525)
7501,,,,,POINT (121.0737879 14.6498405)
7502,restaurant,,,,POINT (121.0746469 14.6496674)
7503,restaurant,,,,POINT (121.0746461 14.6497567)
7504,pharmacy,,,,POINT (121.074643 14.6498063)
7505,,,convenience,,POINT (121.0746449 14.6498398)
7506,restaurant,,,,POINT (121.0746446 14.6499213)
7507,restaurant,,,,POINT (121.0748267 14.6498635)
7508,cafe,,,,POINT (121.0746495 14.6499994)
7509,parking,,,,POINT (121.0749319 14.6448242)
7510,,,,,POINT (121.0766803 14.6455142)
7511,,,convenience,,POINT (121.0750773 14.6464715)
7512,,,,,POINT (121.075274 14.646255)
7513,fast_food,,,,POINT (121.0751122 14.6467362)
7514,,,,,POINT (121.078824 14.645062)
7515,place_of_worship,,,,POINT (121.0750835 14.6475557)
7516,,apartments,,,POINT (121.0753611 14.6484722)
7517,,apartments,,,POINT (121.0755 14.6486111)
7518,,,,,POINT (121.0756944 14.6486944)
7519,,apartments,,,POINT (121.07575 14.6487778)
7520,restaurant,,,,POINT (121.0751432 14.6489711)
7521,restaurant,,,,POINT (121.0748592 14.649197)
7522,restaurant,,,,POINT (121.0749061 14.6492372)
7523,,,department_store,,POINT (121.0751566 14.6491806)
7524,restaurant,,,,POINT (121.074924 14.6492839)
7525,restaurant,,,,POINT (121.0748561 14.649371)
7526,restaurant,,,,POINT (121.0749182 14.6493427)
7527,restaurant,,,,POINT (121.0748548 14.6494673)
7528,restaurant,,,,POINT (121.0749184 14.6494286)
7529,restaurant,,,,POINT (121.0749301 14.64949)
7530,restaurant,,,,POINT (121.0748543 14.6495437)
7531,internet_cafe,,,,POINT (121.07613 14.6491281)
7532,restaurant,,,,POINT (121.0748494 14.6496687)
7533,restaurant,,,,POINT (121.0748494 14.6497337)
7534,restaurant,,,,POINT (121.0749717 14.6496724)
7535,restaurant,,,,POINT (121.0748485 14.6497935)
7536,restaurant,,,,POINT (121.0749684 14.6497768)
7537,,,jewelry,,POINT (121.0748503 14.6499082)
7538,restaurant,,,,POINT (121.0749666 14.6498417)
7539,restaurant,,,,POINT (121.0753122 14.6496231)
7540,restaurant,,,,POINT (121.0753655 14.649948)
7541,,,supermarket,,POINT (121.0755039 14.6502588)
